排名,学校英文,学校中文,地理位置,学院英文,学院中文,专业大类,专业英文,学位,研究方向(项目分支）,是否STEM,课程长度,申请费,申请时间,托福,雅思,GRE,GMAT,学费,GPA要求,专业限制/先修课/工作经验（背景要求）,申请材料,项目官网,申请网址,奖学金,项目介绍（课程、重心（就业、研究）、双学位、海外交换）,就业分析,项目介绍,录取案例,案例分析,备注
9,Duke,杜克大学,Durham,Sanford School of Public Policy,桑福德公公政策学院,量化社科,Master of Public Policy,Master of Public Policy,/,是,2年,80,2024.1.5,100,7,不要求,不要求,52812/sem,无特别要求,要求修过经济课并且有统计和数学基础,,,,,课程主要侧重于量化经济，以微观经济和博弈论为理论基础，stas为工具进行分析，可以学到市场分析中常用的技能，还可以申请duke商学院的MBA同时毕业拿到两个学位，也可以修法律。classsize 在100人左右,null,null,,null,null
9,Johns Hopkins University ,约翰霍普金斯,DC,Carey Business School,凯里商学院,/,MS in Health Care Management (full-time),,,,,,,,,,,,,,,,,,,null,null,,null,null
12,Cornell University,康奈尔大学,"Ithaca, NY",Brooks Public Policy,布鲁克公共政策学院,量化社科,Master of Public Administration ,Master of Public Administration,/,否,2年,/,2024.2.1截止,100（W20/L15/R20/S22）,7.5（7.0）,不要求,不要求,42688,无特别要求,无背景要求,暂无,https://publicpolicy.cornell.edu/masters/mpa/residential/,https://gradschool.cornell.edu/admissions/apply/apply-now/,无,就业导向 career service很好 强制实习,null,null,,null,null
12,Cornell University,康奈尔大学,"Ithaca, NY",Charles H. Dyson School of Applied Economics and Management,查尔斯戴森应用经济与管理学院,量化经管,Master of Professional Studies (MPS) in Applied Economics and Management,MPS in Applied Economics and Management,"Behavioral Finance 行为金融学
Behavioral Marketing 行为营销
Business of Food 食品业务
International and Development Economics
国际和发展经济学
Sustainable Business and Economic Policy
可持续商业和经济政策
Technology Management 技术管理",是,10个月,105,"Round 1: Dec. 1 第 1 轮：12 月 1 日
Round 2: Jan. 15第 2 轮：1 月 15 日
Round 3: Mar. 1 第三轮：3月1日
Round 4: April 15 第四轮：4月15日
",100（W20/L15/R20/S22）,7.5（7.0）,,,60286/年,平均录取3.5（非热门3.3）,无背景要求,video interview，推荐交GRE,https://dyson.cornell.edu/programs/graduate/mps/,https://gradschool.cornell.edu/admissions/apply/apply-now/,有,,null,null,,null,null
12,University of Chicago,芝加哥大学,Chicago,Harris School of Public Policy,哈里斯公共政策学院,量化社科,Master of Public Policy,Master of Public Policy,/,是,2年,/,,104（26）但其实没那么卡小分,7（7）,要求,不要求,60000/年,无特别要求 2.9为底线,无背景要求，但最好会R，偏向有工作经验的申请人,三封推荐信，eassy，cv，无面试,https://harris.uchicago.edu/academics/degrees/master-public-policy-mpp,,,6门基础core 很简单+全校选剩下的12门 很自由 可以学到东西  就业consulting方向很好,null,null,陆本3.2 加本3.0 ,null,null
22,Georgetown University ,乔治敦大学,DC,McDonough School of Business,麦克多诺商学院, Business Analytics, MS in Business Analytics ,Master of Science, Business Analytics,是,16个月,175,2023 11.21-2024.6.25,100,7.5,无要求,无要求,64680,无特别要求,无背景要求,一封推荐信，个人论文，语言成绩，video essay，如果要申请奖学金，GRE是首考虑项,,,可申请,非常美国本土的一个项目，如果申请到是非常的好当地就业以及赚的，均分在3.4，人均拥有较多的工作经验,null,null,,null,null
24,Washington University in St. Louis,圣路易斯华盛顿大学,Mi，St. Louis,Olin Business School,奥林商学院, Business Analytics,M.S. in Business Analytics,Master of Science, Business Analytics,是,18个月,100,2023.10.5第一轮截止，第四轮2024年3.1截止终轮,105,7,要求,要求,92700,要求有微积分和统计课程基础,偏好具有较强学术、专业和课外活动能力的个人,两篇论文，一篇CV，网申视频,https://olin.wustl.edu/EN-US/academic-programs/specialized-masters-programs/ms-in-business-analytics/Admissions/Pages/default.aspx,https://joinolin.wustl.edu/OlinGPOapp/s/login/?startURL=%2FOlinGPOapp%2Fs%2F&ec=302&,无,基础课程为sql、python等，后续会分为六个分支（医疗保健，供应链，人才，会计分析，金融科技，客户分析），录取者均分3.4，托福104招生360人左右，98%的国际生。,null,null,北京师范大学，应用经济3.12，带Gmat650,null,null
24,The University of Virginia,弗吉尼亚大学,Vr,the McIntire School of Commerce of Business Administration,麦金泰尔工商管理学院, Business Analytics, Master of Science in Business Analytics,Master of Science, Business Analytics,是,9个月,,,100,7.5,,,,,,,,,无,,null,null,,null,null
43,Boston University ,波士顿大学,MA，Boston,Metropolitan College,大都会学院, Business Analytics,MS in Applied Business Analytics,Master of Science, Business Analytics,是,12-20个月,85,Oct.31,,6.5,无要求,无要求,31899/学期,学校无特别要求，以录取案例分析，2.9为底线,无背景要求,一份简历，两封推荐信，加五百字文书,https://www.bu.edu/academics/met/programs/administrative-sciences/ms-in-applied-business-analytics/,https://bu-met2023.liaisoncas.com/applicant-ux/#/login,无,40学分，主要在于进行商业2分析相关的课程，可以申请第二学位，可以非常tech，也可以非常business，就业导向型项目,null,null,南京邮递大学，物理专业，GPA2.92，4段实习,null,null
43,Boston University ,波士顿大学,MA，Boston,Metropolitan College,大都会学院,Data Analytics,MS in Applied Data Analytics,Master of Science,Da'ta Analytics,是,,,,,,,,,,,,,,无,,null,null,,null,null
